	0.00000e+00	0.00000e+00	1.65284e+04	0.00000e+00	1.11576e+01	0.00000e+00	0.00000e+00
	1.00000e-01	0.00000e+00	1.65108e+04	3.27327e-03	1.11792e+01	7.62652e-01	6.47357e-01
	2.00000e-01	1.11576e-01	1.64931e+04	6.55290e-03	1.11995e+01	3.05650e+00	5.19390e+00
	3.00000e-01	3.34944e-01	1.64755e+04	9.83850e-03	1.12184e+01	6.88976e+00	1.75779e+01
	4.00000e-01	6.70308e-01	1.64579e+04	1.31297e-02	1.12360e+01	1.22698e+01	4.17758e+01
	5.00000e-01	1.11786e+00	1.64402e+04	1.64261e-02	1.12521e+01	1.92031e+01	8.17969e+01
	6.00000e-01	1.67776e+00	1.64226e+04	1.97272e-02	1.12668e+01	2.76955e+01	1.41678e+02
	7.00000e-01	2.35019e+00	1.64050e+04	2.30328e-02	1.12801e+01	3.77515e+01	2.25479e+02
	8.00000e-01	3.13529e+00	1.63873e+04	2.63423e-02	1.12920e+01	4.93753e+01	3.37275e+02
	9.00000e-01	4.03319e+00	1.63697e+04	2.96554e-02	1.13024e+01	6.25697e+01	4.81154e+02
	1.00000e+00	5.04401e+00	1.63521e+04	3.29717e-02	1.13114e+01	7.73368e+01	6.61210e+02
	1.10000e+00	6.16785e+00	1.63344e+04	3.62908e-02	1.13190e+01	9.36780e+01	8.81535e+02
	1.20000e+00	7.40480e+00	1.63168e+04	3.96122e-02	1.13251e+01	1.11593e+02	1.14622e+03
	1.30000e+00	8.75495e+00	1.62992e+04	4.29355e-02	1.13297e+01	1.31083e+02	1.45934e+03
	1.40000e+00	1.02183e+01	1.62815e+04	4.62604e-02	1.13329e+01	1.52144e+02	1.82495e+03
	1.50000e+00	1.17950e+01	1.62639e+04	4.95863e-02	1.13346e+01	1.74775e+02	2.24709e+03
	1.60000e+00	1.34851e+01	1.62462e+04	5.29130e-02	1.13349e+01	1.98972e+02	2.72977e+03
	1.70000e+00	1.52884e+01	1.62286e+04	5.62399e-02	1.13337e+01	2.24732e+02	3.27696e+03
	1.80000e+00	1.72052e+01	1.62110e+04	5.95667e-02	1.13310e+01	2.52048e+02	3.89260e+03
	1.90000e+00	1.92352e+01	1.61933e+04	6.28930e-02	1.13269e+01	2.80916e+02	4.58058e+03
	2.00000e+00	2.13786e+01	1.61757e+04	6.62182e-02	1.13213e+01	3.11327e+02	5.34473e+03
	2.10000e+00	2.36352e+01	1.61581e+04	6.95421e-02	1.13143e+01	3.43274e+02	6.18883e+03
	2.20000e+00	2.60051e+01	1.61404e+04	7.28641e-02	1.13057e+01	3.76748e+02	7.11662e+03
	2.30000e+00	2.84880e+01	1.61228e+04	7.61840e-02	1.12958e+01	4.11740e+02	8.13173e+03
	2.40000e+00	3.10841e+01	1.61052e+04	7.95012e-02	1.12844e+01	4.48238e+02	9.23776e+03
	2.50000e+00	3.37931e+01	1.60875e+04	8.28154e-02	1.12716e+01	4.86232e+02	1.04382e+04
	2.60000e+00	3.66149e+01	1.60699e+04	8.61261e-02	1.12573e+01	5.25710e+02	1.17365e+04
	2.70000e+00	3.95495e+01	1.60522e+04	8.94329e-02	1.12416e+01	5.66657e+02	1.31359e+04
	2.80000e+00	4.25966e+01	1.60346e+04	9.27355e-02	1.12245e+01	6.09060e+02	1.46398e+04
	2.90000e+00	4.57562e+01	1.60170e+04	9.60334e-02	1.12060e+01	6.52905e+02	1.62512e+04
	3.00000e+00	4.90280e+01	1.59993e+04	9.93262e-02	1.11861e+01	6.98176e+02	1.79732e+04
	3.10000e+00	5.24119e+01	1.59817e+04	1.02614e-01	1.11648e+01	7.44856e+02	1.98087e+04
	3.20000e+00	5.59076e+01	1.59641e+04	1.05895e-01	1.11421e+01	7.92928e+02	2.17606e+04
	3.30000e+00	5.95149e+01	1.59464e+04	1.09170e-01	1.11181e+01	8.42375e+02	2.38317e+04
